#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	ExtractionBlank_S77_R1_cat_kneaddata	Serife-CON1_S49_R1_cat_kneaddata	Serife-CON2_S50_R1_cat_kneaddata	Serife-CON3_S51_R1_cat_kneaddata	Serife-CON4_S52_R1_cat_kneaddata	Serife-CON5_S53_R1_cat_kneaddata	Serife-CON6_S54_R1_cat_kneaddata	Serife-KD1_S69_R1_cat_kneaddata	Serife-KD2_S70_R1_cat_kneaddata	Serife-KD3_S71_R1_cat_kneaddata	Serife-KD4_S72_R1_cat_kneaddata	Serife-KD5_S73_R1_cat_kneaddata	Serife-KD6_S74_R1_cat_kneaddata	Serife-KD7_S75_R1_cat_kneaddata	Serife-KD8_S76_R1_cat_kneaddata	Serife-MMKD1_S61_R1_cat_kneaddata	Serife-MMKD2_S62_R1_cat_kneaddata	Serife-MMKD3_S63_R1_cat_kneaddata	Serife-MMKD4_S64_R1_cat_kneaddata	Serife-MMKD5_S65_R1_cat_kneaddata	Serife-MMKD6_S66_R1_cat_kneaddata	Serife-MMKD7_S67_R1_cat_kneaddata	Serife-MMKD8_S68_R1_cat_kneaddata	Serife-SCOP1_S55_R1_cat_kneaddata	Serife-SCOP2_S56_R1_cat_kneaddata	Serife-SCOP3_S57_R1_cat_kneaddata	Serife-SCOP4_S58_R1_cat_kneaddata	Serife-SCOP5_S59_R1_cat_kneaddata	Serife-SCOP6_S60_R1_cat_kneaddata
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	0.0	0.48587	0.0	0.0647	0.0	0.36957	0.10388	0.00806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.43197	0.0	0.06981	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0	0.30537	0.0	0.15178	0.0	0.2303	0.0	0.35373	1.71069	0.76041	2.48062	1.54527	2.01633	1.35641	2.58637	0.0552	0.16681	0.62617	0.19118	3.72207	0.0364	0.26455	1.16839	0.0196	0.0	0.05954	0.00073	0.02616	0.30056
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0	0.28961	0.37525	1.34739	0.0	0.35824	4.02134	1.25762	1.78811	0.10236	0.58552	1.25098	0.49093	0.21256	1.33505	1.51181	11.46284	3.55708	1.80169	2.85098	5.43738	0.08315	2.63314	0.11487	3.67949	2.49779	0.04408	0.40449	0.00109
k__Bacteria|p__Firmicutes|c__CFGB8118	0.0	0.25835	5.00968	4.35631	0.0	11.90888	6.69641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94002	4.75222	0.0	0.02609	1.76673	0.06601
k__Bacteria|p__Firmicutes|c__CFGB9660	0.0	0.21722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB658	0.0	0.19743	0.0	0.06661	0.08366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05688	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3023	0.0	0.15854	0.28634	0.01035	0.13283	0.06295	0.04688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02152	0.05441	0.0218	0.0	0.0	0.34151	0.38653	0.09728	0.0	0.20781	0.09591	0.27046	0.03618
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0	0.12873	0.91109	0.33569	0.07103	0.66154	0.03129	2.67396	2.96877	4.44102	3.8029	1.55621	0.91324	2.22275	0.78752	10.4345	6.57561	6.2706	7.59712	2.03977	4.25979	3.55332	8.69709	0.05352	0.90946	5.81683	0.00186	2.49413	9.34419
k__Bacteria|p__Firmicutes|c__CFGB30287	0.0	0.0956	0.0	0.05209	0.0212	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.23109	2.02674	1.94652	1.08571	0.0	0.04856	2.30637	1.1518	0.0	0.0	0.0	0.0	0.08167	0.01079
k__Bacteria|p__Firmicutes|c__CFGB10239	0.0	0.09109	0.52821	0.03489	0.59067	0.04906	0.29378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16051	0.0	0.17225	3.27099	0.0	0.50031	0.84573	0.07367
